Image,Accuracy,F1,Jaccard,Recall,Precision,Dice
ISIC_0000256.jpg,0.9828338623046875,0.8931725382204919,0.8069663692518875,0.9867813680234998,0.8157849089332176,0.8931725381356782
ISIC_0011156.jpg,0.720550537109375,0.6132370332826491,0.4422075351018792,0.44374828081542833,0.9922093897355293,0.6132370332696985
ISIC_0014166.jpg,0.9122161865234375,0.0,0.0,0.0,0.0,0.0
ISIC_0013568.jpg,0.991668701171875,0.7029379760609358,0.5419463087248322,0.5588235294117647,0.9472140762463344,0.7029379756784886
ISIC_0015638.jpg,0.806243896484375,0.17854832449217234,0.09802528768290951,0.09802528768290951,1.0,0.1785483244806218
ISIC_0012672.jpg,0.946075439453125,0.41354132094258217,0.2606694560669456,0.2606694560669456,1.0,0.41354132087395595
ISIC_0012228.jpg,0.9460906982421875,0.0,0.0,0.0,0.0,0.0
ISIC_0014931.jpg,0.7626495361328125,0.1978237326594812,0.10976935843873405,0.11002753556677375,0.9790709545686574,0.19782373264927935
ISIC_0000072.jpg,0.9668121337890625,0.8429942972641306,0.7285999500873471,0.731520922074668,0.9945494804973599,0.8429942972032777
ISIC_0008256.jpg,0.9715423583984375,0.5141964053138838,0.34607293127629735,0.34607293127629735,1.0,0.5141964051799437
ISIC_0013155.jpg,0.9957275390625,0.0,0.0,0.0,0.0,0.0
ISIC_0012201.jpg,0.982269287109375,0.8278008298755186,0.7061946902654868,0.7096036585365854,0.9932432432432432,0.8278008297528451
ISIC_0000324.jpg,0.66436767578125,0.09069863579991733,0.04750357251115057,0.04750357251115057,1.0,0.0906986357961679
ISIC_0003308.jpg,0.90643310546875,0.0,0.0,0.0,0.0,0.0
ISIC_0013817.jpg,0.942779541015625,0.4966442953020134,0.33035714285714285,0.33035714285714285,1.0,0.49664429523534975
ISIC_0014937.jpg,0.2873077392578125,0.09812894630133812,0.05159600389863548,0.05159600389863548,1.0,0.09812894629944334
ISIC_0012678.jpg,0.9693603515625,0.7009234435507894,0.5395551479018573,0.5406709558823529,0.9961896697713802,0.700923443446392
ISIC_0000137.jpg,0.8645477294921875,0.6190619233575076,0.4482908638906153,0.44845809500124345,0.999168859952902,0.6190619233309419
ISIC_0014726.jpg,0.6276397705078125,0.18025462729685243,0.09905486229048217,0.09943666147802238,0.9626838894869035,0.1802546272907973
ISIC_0012316.jpg,0.9872589111328125,0.4581440622972096,0.29713804713804715,0.29713804713804715,1.0,0.4581440619999065
ISIC_0000377.jpg,0.9434051513671875,0.8100773209073685,0.6807814786126173,0.6816614960358497,0.9981072555205047,0.8100773208658878
ISIC_0015416.jpg,0.4896392822265625,0.15748507519081084,0.08547288983676482,0.08547288983676482,1.0,0.15748507518684388
ISIC_0008524.jpg,0.9734039306640625,0.0,0.0,0.0,0.0,0.0
ISIC_0015353.jpg,0.810791015625,0.0009668063164679343,0.00048363694986296955,0.0007536741615374953,0.0013480116827679174,0.0009668063163900414
ISIC_0010847.jpg,0.6444549560546875,0.0,0.0,0.0,0.0,0.0
ISIC_0013096.jpg,0.9472198486328125,0.6382934225661403,0.4687452004300415,0.4687452004300415,1.0,0.6382934224993941
ISIC_0000294.jpg,0.3022308349609375,0.0947799750579013,0.049747521974939216,0.049747521974939216,1.0,0.0947799750560251
ISIC_0000501.jpg,0.9098358154296875,0.6552307602543905,0.48724401249566124,0.48732858878666896,0.9996439380452199,0.6552307602161601
ISIC_0015161.jpg,0.6829071044921875,0.2660780505032668,0.15345445657487372,0.15345445657487372,1.0,0.26607805049386973
ISIC_0000537.jpg,0.668670654296875,0.25412201154163233,0.1455554243890922,0.1455554243890922,1.0,0.2541220115329032
ISIC_0000082.jpg,0.8598175048828125,0.6274684724869227,0.4571614275584968,0.4571614275584968,1.0,0.6274684724614789
ISIC_0013355.jpg,0.9957275390625,0.0,0.0,0.0,0.0,0.0
ISIC_0015226.jpg,0.9925994873046875,0.8918135177336605,0.8047504025764896,0.9615199615199616,0.8315307820299501,0.8918135175347282
ISIC_0015981.jpg,0.985626220703125,0.77001953125,0.6260420801905519,0.6379449838187702,0.9710591133004927,0.7700195310620069
ISIC_0015071.jpg,0.9320220947265625,0.8601211968978618,0.754572498898193,0.758710463634853,0.9928240069585387,0.8601211968708555
ISIC_0011317.jpg,0.987030029296875,0.8749264273101824,0.7776615223646351,0.962135922330097,0.8022126281705343,0.874926427181441
ISIC_0007693.jpg,0.944305419921875,0.0,0.0,0.0,0.0,0.0
ISIC_0012904.jpg,0.87628173828125,0.0,0.0,0.0,0.0,0.0
ISIC_0011328.jpg,0.814605712890625,0.392621475704859,0.24426198917708528,0.24426198917708528,1.0,0.39262147568523187
ISIC_0008145.jpg,0.9748687744140625,0.0,0.0,0.0,0.0,0.0
ISIC_0014663.jpg,0.5567474365234375,0.040622213415238285,0.02073220064724919,0.02073220064724919,1.0,0.040622213413896685
ISIC_0014684.jpg,0.9758148193359375,0.8438885058603368,0.7299369568921452,1.0,0.7299369568921452,0.8438885057772196
ISIC_0000164.jpg,0.7513427734375,0.4328669868448528,0.276215856095936,0.276215856095936,1.0,0.43286698682978814
ISIC_0001105.jpg,0.9290618896484375,0.6727669458717533,0.5068943572337717,0.5068943572337717,1.0,0.6727669458243988
ISIC_0012390.jpg,0.8693084716796875,0.0,0.0,0.0,0.0,0.0
ISIC_0010018.jpg,0.9837493896484375,0.9378392575731045,0.8829541707879986,0.9008746355685131,0.9779671332927572,0.9378392575183657
ISIC_0013326.jpg,0.9656219482421875,0.0,0.0,0.0,0.0,0.0
ISIC_0012381.jpg,0.8769989013671875,0.0,0.0,0.0,0.0,0.0
ISIC_0014072.jpg,0.4191436767578125,0.002463247818453395,0.0012331426772314634,0.0012331426772314634,1.0,0.002463247818388846
ISIC_0001188.jpg,0.9623565673828125,0.0,0.0,0.0,0.0,0.0
ISIC_0002353.jpg,0.9308319091796875,0.0,0.0,0.0,0.0,0.0
ISIC_0013000.jpg,0.9872283935546875,0.0,0.0,0.0,0.0,0.0
ISIC_0008807.jpg,0.9613189697265625,0.0,0.0,0.0,0.0,0.0
ISIC_0009902.jpg,0.7613983154296875,0.3931385104979237,0.2446623514636267,0.2446623514636267,1.0,0.39313851048266624
ISIC_0000535.jpg,0.894256591796875,0.6623465211459755,0.4951555328913819,0.4951555328913819,1.0,0.6623465211137036
